Name	Card	ECVotes	FormulaName	ImmedSubsets
AZ,MI,NC,PA,WI	5	71	AZMINCPAWI	AZMINCPA,AZMINCWI,AZMIPAWI,AZNCPAWI,MINCPAWI
AZ,GA,NC,PA,WI	5	72	AZGANCPAWI	AZGANCPA,AZGANCWI,AZGAPAWI,AZNCPAWI,GANCPAWI
GA,MI,NC,NV,PA	5	72	GAMINCNVPA	GAMINCNV,GAMINCPA,GAMINVPA,GANCNVPA,MINCNVPA
GA,MI,NC,PA,WI	5	76	GAMINCPAWI	GAMINCPA,GAMINCWI,GAMIPAWI,GANCPAWI,MINCPAWI
AZ,GA,MI,NC,PA	5	77	AZGAMINCPA	AZGAMINC,AZGAMIPA,AZGANCPA,AZMINCPA,GAMINCPA
AZ,GA,MI,NC,NV,WI	6	74	AZGAMINCNVWI	AZGAMINCNV,AZGAMINCWI,AZGAMINVWI,AZGANCNVWI,AZMINCNVWI,GAMINCNVWI
AZ,GA,MI,NV,PA,WI	6	77	AZGAMINVPAWI	AZGAMINVPA,AZGAMINVWI,AZGAMIPAWI,AZGANVPAWI,AZMINVPAWI,GAMINVPAWI
AZ,MI,NC,NV,PA,WI	6	77	AZMINCNVPAWI	AZMINCNVPA,AZMINCNVWI,AZMINCPAWI,AZMINVPAWI,AZNCNVPAWI,MINCNVPAWI
AZ,GA,NC,NV,PA,WI	6	78	AZGANCNVPAWI	AZGANCNVPA,AZGANCNVWI,AZGANCPAWI,AZGANVPAWI,AZNCNVPAWI,GANCNVPAWI
GA,MI,NC,NV,PA,WI	6	82	GAMINCNVPAWI	GAMINCNVPA,GAMINCNVWI,GAMINCPAWI,GAMINVPAWI,GANCNVPAWI,MINCNVPAWI
AZ,GA,MI,NC,NV,PA	6	83	AZGAMINCNVPA	AZGAMINCNV,AZGAMINCPA,AZGAMINVPA,AZGANCNVPA,AZMINCNVPA,GAMINCNVPA
AZ,GA,MI,NC,PA,WI	6	87	AZGAMINCPAWI	AZGAMINCPA,AZGAMINCWI,AZGAMIPAWI,AZGANCPAWI,AZMINCPAWI,GAMINCPAWI
AZ,GA,MI,NC,NV,PA,WI	7	93	AZGAMINCNVPAWI	AZGAMINCNVPA,AZGAMINCNVWI,AZGAMINCPAWI,AZGAMINVPAWI,AZGANCNVPAWI,AZMINCNVPAWI,GAMINCNVPAWI
