Date	South	South.LCL	South.UCL	North	North.LCL	North.UCL	South.7	North.7	North.Variant	South.Variant	death	deathConfirmed	deathIncrease	deathProbable	hospitalized	hospitalizedCumulative	hospitalizedCurrently	hospitalizedIncrease	inIcuCurrently	negative	negativeIncrease	onVentilatorCurrently	positive	positiveCasesViral	positiveIncrease	positiveScore	positiveTestsPeopleAntibody	positiveTestsViral	recovered	totalTestEncountersViralIncrease	totalTestResults	totalTestResultsIncrease	totalTestsPeopleAntibody	totalTestsPeopleAntigen	totalTestsPeopleViral	totalTestsPeopleViralIncrease	totalTestsViral	totalTestsViralIncrease
2020-08-22	NA	NA	35	61	0	0	0	0			8921	8690	20	231	12256	12256	315	11	50	1428313	8192	20	125360	115850	144	0	NA	152852	102205	0	2064529	13658	108343	74606	1544163	8301	2064529	13658
2020-08-23	NA	NA	35	61	0	0	0	0			8921	8690	0	231	12256	12256	315	0	50	1428313	0	20	125360	115850	0	0	NA	152852	102205	0	2064529	0	108343	74606	1544163	0	2064529	0
2020-08-24	21	38	33	58	7	10	12	17			8948	8717	27	231	12268	12268	308	12	62	1465557	37244	26	126022	116421	662	0	NA	153528	102205	0	2122991	58462	109138	77748	1581978	37815	2122991	58462
2020-08-25	NA	NA	33	58	0	0	0	0			8960	8729	12	231	12279	12279	327	11	61	1487982	22425	28	126420	116770	398	0	NA	153951	102205	0	2157864	34873	109535	79979	1604752	22774	2157864	34873
2020-08-26	31	48	28	48	10	15	15	22			8987	8755	27	232	12299	12299	356	20	68	1507411	19429	29	126756	117085	336	0	NA	154356	103920	0	2194342	36478	110379	82123	1624496	19744	2194342	36478
2020-08-27	NA	NA	28	48	0	0	0	0			9007	8775	20	232	12318	12318	333	19	61	1532386	24975	29	127124	117450	368	0	NA	154839	103920	0	2246626	52284	111148	82573	1649836	25340	2246626	52284
2020-08-28	38	60	29	48	12	17	19	27			9023	8791	16	232	12334	12334	312	16	60	1555664	23278	26	127584	117888	460	0	NA	155347	103920	0	2290752	44126	111578	83972	1673552	23716	2290752	44126
2020-08-29	NA	NA	29	48	0	0	0	0			9036	8803	13	232	12358	12358	305	24	62	1579125	23461	26	128030	118309	446	0	NA	155842	103920	0	2339669	48917	112464	85450	1697434	23882	2339669	48917
2020-08-30	NA	NA	29	48	0	0	0	0			9049	8816	13	232	12361	12361	290	3	62	1595545	16420	25	128229	118483	199	0	NA	156076	103920	0	2372564	32895	112603	86612	1714028	16594	2372564	32895
2020-08-31	47	61	38	56	15	22	19	28			9060	8827	11	232	12364	12364	314	3	56	1613984	18439	22	128533	118784	304	0	NA	156404	103920	0	2404426	31862	112727	86838	1732768	18740	2404426	31862
2020-09-01	NA	NA	38	56	0	0	0	0			9064	8831	4	232	12386	12386	320	22	55	1635284	21300	29	128888	119138	355	0	NA	156836	103920	0	2448341	43915	112996	87251	1754422	21654	2448341	43915
2020-09-02	54	144	46	81	17	25	46	67			9060	8853	-4	207	12295	12295	308	-91	58	1650575	15291	29	121131	119426	-7757	0	NA	157208	103920	0	2478482	30141	113667	89417	1770001	15579	2478482	30141
2020-09-03	NA	NA	46	81	0	0	0	0			9077	8870	17	207	12325	12325	312	30	61	1681766	31191	28	121546	119819	415	0	NA	157684	105769	0	2560869	82387	114108	90721	1801585	31584	2560869	82387
2020-09-04	52	138	51	107	17	24	44	64			9100	8892	23	208	12335	12335	333	10	60	1699106	17340	26	121758	120038	212	0	NA	158114	105769	0	2600312	39443	114277	91070	1819144	17559	2600312	39443
2020-09-05	NA	NA	51	107	0	0	0	0			9116	8907	16	209	12347	12347	325	12	48	1719479	20373	25	122196	120454	438	0	NA	158624	105769	0	2660462	60150	114635	92567	1839933	20789	2660462	60150
2020-09-06	NA	NA	51	107	0	0	0	0			9125	8917	9	208	12350	12350	312	3	52	1736840	17361	22	122562	120824	366	0	NA	159076	105769	0	2704512	44050	114941	92907	1857664	17731	2704512	44050
2020-09-07	65	59	57	105	20	30	19	27			9133	8925	8	208	12357	12357	322	7	56	1746488	9648	20	122791	121046	229	0	NA	159337	105769	0	2728153	23641	115013	93223	1867534	9870	2728153	23641
2020-09-08	NA	NA	57	105	0	0	0	0			9141	8933	8	208	12368	12368	328	11	47	1755759	9271	24	122962	121214	171	0	NA	159560	105769	0	2758384	30231	115057	94986	1876973	9439	2758384	30231
2020-09-09	71	46	62	72	22	33	15	21			9146	8937	5	209	12387	12387	338	19	49	1766927	11168	21	123143	121396	181	0	NA	159836	107501	0	2798585	40201	115319	95385	1888323	11350	2798585	40201
2020-09-10	38	59	55	69	12	17	19	27			9166	8957	20	209	12401	12401	355	14	59	1784453	17526	21	123546	121759	403	0	NA	160263	107501	0	2852550	53965	115578	97848	1906212	17889	2852550	53965
2020-09-11	52	46	55	52	17	24	15	21			9180	8971	14	209	12411	12411	330	10	60	1803416	18963	22	123986	122202	440	0	NA	160811	107501	0	2905353	52803	115893	100148	1925618	19406	2905353	52803
2020-09-12	19	51	44	52	6	9	16	24			9196	8987	16	209	12426	12426	331	15	64	1821294	17878	25	124540	122637	554	0	NA	161336	107501	0	2968723	63370	116242	106383	1943931	18313	2968723	63370
2020-09-13	25	44	40	51	8	11	14	20			9210	9001	14	209	12431	12431	313	5	61	1833129	11835	21	124826	122904	286	0	NA	161677	107501	0	3006158	37435	116531	108478	1956033	12102	3006158	37435
2020-09-14	27	49	35	49	8	12	15	22			9219	9010	9	209	12442	12442	302	11	63	1845095	11966	17	125080	123139	254	0	NA	161982	107501	0	3038625	32467	116598	109470	1968234	12201	3038625	32467
2020-09-15	70	45	38	48	22	32	14	21			9225	9016	6	209	12462	12462	310	20	52	1856605	11510	23	125393	123425	313	0	NA	162343	107501	0	3075812	37187	116752	110849	1980030	11796	3075812	37187
2020-09-16	68	48	38	49	21	31	15	22			9245	9036	20	209	12478	12478	352	16	66	1872942	16337	24	125699	123720	306	0	NA	162714	109397	0	3131714	55902	117107	112394	1996662	16632	3131714	55902
2020-09-17	36	54	38	48	11	17	17	25			9260	9051	15	209	12496	12496	377	18	64	1900167	27225	26	126128	124139	429	0	NA	163227	109397	0	3199563	67849	117453	113845	2024306	27644	3199563	67849
2020-09-18	45	75	37	51	14	21	24	34			9269	9059	9	210	12514	12514	338	18	62	1921953	21786	25	126582	124570	454	0	NA	163794	109397	0	3264873	65310	117770	115162	2046523	22217	3264873	65310
2020-09-19	53	31	43	48	17	24	10	14			9295	9085	26	210	12537	12537	362	23	65	1942682	20729	28	127181	125139	599	0	NA	164504	109397	0	3337292	72419	118069	116565	2067821	21298	3337292	72419
2020-09-20	85	32	51	46	27	39	10	15			9310	9100	15	210	12545	12545	364	8	61	1959741	17059	34	127540	125479	359	0	NA	164924	109397	0	3399512	62220	118289	117973	2085220	17399	3399512	62220
2020-09-21	61	24	58	41	19	28	7	11			9317	9107	7	210	12553	12553	367	8	69	1970320	10579	31	127796	125723	256	0	NA	165228	109397	0	3436161	36649	118364	119095	2096043	10823	3436161	36649
2020-09-22	41	44	53	41	13	19	14	20			9328	9118	11	210	12571	12571	371	18	67	1979312	8992	27	127969	125866	173	0	NA	165412	109397	0	3476679	40518	118447	120496	2105178	9135	3476679	40518
2020-09-23	46	41	51	40	15	21	13	19			9347	9135	19	212	12592	12592	361	21	71	1999432	20120	26	128512	126408	543	0	NA	166112	111479	0	3557548	80869	118843	121231	2125840	20662	3557548	80869
2020-09-24	46	31	52	37	15	21	10	14			9362	9150	15	212	12606	12606	375	14	75	2017533	18101	29	128993	126863	481	0	NA	166664	111479	0	3642716	85168	119164	122954	2144396	18556	3642716	85168
2020-09-25	60	34	55	33	19	28	11	16			9373	9160	11	213	12619	12619	389	13	78	2032933	15400	31	129481	127317	488	0	NA	167221	111479	0	3706728	64012	119449	124547	2160250	15854	3706728	64012
2020-09-26	NA	NA	55	34	0	0	0	0			9391	9178	18	213	12637	12637	354	18	77	2046728	13795	28	130050	127832	569	0	NA	167823	111479	0	3780020	73292	119693	126039	2174560	14310	3780020	73292
2020-09-27	NA	NA	50	34	0	0	0	0			9404	9191	13	213	12645	12645	408	8	79	2064199	17471	27	130642	128426	592	0	NA	168544	111479	0	3881846	101826	119935	126585	2192625	18065	3881846	101826
2020-09-28	46	43	47	38	15	21	14	20			9415	9202	11	213	12648	12648	418	3	85	2076881	12682	31	131072	128793	430	0	NA	168973	111479	0	3931219	49373	119987	129009	2205674	13049	3931219	49373
2020-09-29	NA	NA	49	37	0	0	0	0			9423	9210	8	213	12667	12667	444	19	107	2090555	13674	27	131584	129243	512	0	NA	169522	111479	0	3988224	57005	120133	130459	2219798	14124	3988224	57005
2020-09-30	58	21	52	31	18	27	7	10			9456	9242	33	214	12686	12686	438	19	89	2104449	13894	29	132116	129753	532	0	NA	170156	113768	0	4050617	62393	120418	131852	2234202	14404	4050617	62393
2020-10-01	NA	NA	54	31	0	0	0	0			9480	9265	24	215	12715	12715	436	29	84	2121900	17451	32	132870	130461	754	0	NA	170958	113768	0	4125104	74487	120585	133689	2252361	18159	4125104	74487
2020-10-02	68	34	57	31	22	32	11	16			9490	9275	10	215	12733	12733	421	18	79	2142598	20698	34	133631	131214	761	0	NA	171892	113768	0	4200018	74914	120977	134197	2273812	21451	4200018	74914
2020-10-03	NA	NA	57	31	0	0	0	0			9507	9292	17	215	12745	12745	416	12	75	2155811	13213	27	134303	131814	672	0	NA	172557	113768	0	4265786	65768	121078	136823	2287625	13813	4265786	65768
2020-10-04	NA	NA	57	31	0	0	0	0			9510	9295	3	215	12749	12749	438	4	83	2174166	18355	27	134947	132440	644	0	NA	173288	113768	0	4334501	68715	121397	138291	2306606	18981	4334501	68715
2020-10-05	63	38	63	30	20	29	12	17			9530	9315	20	215	12755	12755	473	6	88	2184966	10800	33	135462	132905	515	0	NA	173830	113768	0	4371050	36549	121464	139854	2317871	11265	4371050	36549
2020-10-06	NA	NA	63	30	0	0	0	0			9538	9323	8	215	12775	12775	494	20	85	2197297	12331	31	135957	133359	495	0	NA	174382	113768	0	4416428	45378	121620	141849	2330656	12785	4416428	45378
2020-10-07	59	70	63	45	19	27	22	33			9557	9342	19	215	12807	12807	515	32	83	2212922	15625	34	136492	133868	535	0	NA	175047	116364	0	4478131	61703	121906	143436	2346790	16134	4478131	61703
2020-10-08	NA	NA	63	45	0	0	0	0			9565	9350	8	215	12830	12830	484	23	85	2226548	13626	23	136936	134277	444	0	NA	175537	116364	0	4541516	63385	122087	145573	2360825	14035	4541516	63385
2020-10-09	66	56	63	53	21	31	18	26			9577	9362	12	215	12846	12846	500	16	88	2245381	18833	28	137701	135011	765	0	NA	176443	116364	0	4601434	59918	122441	147155	2380392	19567	4601434	59918
2020-10-10	NA	NA	63	53	0	0	0	0			9587	9372	10	215	12861	12861	531	15	86	2259954	14573	28	138340	135598	639	0	NA	177148	116364	0	4670758	69324	122655	149566	2395552	15160	4670758	69324
2020-10-11	NA	NA	63	53	0	0	0	0			9604	9388	17	216	12871	12871	511	10	85	2275181	15227	29	138903	136168	563	0	NA	177860	116364	0	4748004	77246	122843	150341	2411349	15797	4748004	77246
2020-10-12	63	52	63	59	20	29	16	24			9617	9401	13	216	12882	12882	501	11	82	2293217	18036	32	139663	136933	760	0	NA	178806	116364	0	4815399	67395	122982	150702	2430150	18801	4815399	67395
2020-10-13	NA	NA	63	59	0	0	0	0			9630	9413	13	217	12899	12899	514	17	87	2306329	13112	27	140412	137565	749	0	NA	179559	116364	0	4857515	42116	123089	154194	2443894	13744	4857515	42116
2020-10-14	103	71	76	59	32	47	22	33			9647	9429	17	218	12933	12933	499	34	88	2318868	12539	28	140992	138083	580	0	NA	180226	118892	0	4896199	38684	123336	156556	2456951	13057	4896199	38684
2020-10-15	NA	NA	76	59	0	0	0	0			9672	9452	25	220	12946	12946	503	13	92	2333037	14169	34	141579	138651	587	0	NA	180913	118892	0	4955322	59123	123572	157165	2471688	14737	4955322	59123
2020-10-16	105	101	88	72	33	49	32	46			9702	9482	30	220	12971	12971	513	25	77	2347297	14260	33	142346	139353	767	0	NA	181769	118892	0	5012963	57641	123893	160204	2486650	14962	5012963	57641
2020-10-17	NA	NA	88	72	0	0	0	0			9723	9503	21	220	12990	12990	500	19	88	2359142	11845	36	142930	139903	584	0	NA	182472	118892	0	5088797	75834	123968	161945	2499045	12395	5088797	75834
2020-10-18	121	263	95	99	38	56	83	121			9737	9517	14	220	13001	13001	483	11	83	2373986	14844	32	143660	140647	730	0	NA	183400	118892	0	5168943	80146	124154	162157	2514633	15588	5168943	80146
2020-10-19	259	116	136	122	82	120	37	54			9753	9532	16	221	13009	13009	500	8	86	2390813	16827	33	144488	141474	828	0	NA	184514	118892	0	5239651	70708	124340	162655	2532287	17654	5239651	70708
2020-10-20	175	130	143	123	55	81	41	60			9758	9537	5	221	13021	13021	517	12	94	2407230	16417	35	145464	142295	976	0	NA	185451	118892	0	5306041	66390	124711	166394	2549525	17238	5306041	66390
2020-10-21	271	95	173	131	86	125	30	44			9780	9559	22	221	13056	13056	519	35	91	2419306	12076	36	146166	142941	702	0	NA	186257	118892	0	5366394	60353	124834	168123	2562247	12722	5366394	60353
2020-10-22	214	131	179	131	68	99	42	61			9810	9589	30	221	13082	13082	521	26	103	2436286	16980	38	147215	143927	1049	0	NA	187420	122856	0	5441066	74672	125118	169922	2580213	17966	5441066	74672
2020-10-23	120	103	183	131	38	55	33	48			9830	9608	20	222	13106	13106	570	24	125	2451079	14793	43	148285	144895	1070	0	NA	188566	122856	0	5515148	74082	125399	171903	2595974	15761	5515148	74082
2020-10-24	118	132	172	132	37	54	42	61			9839	9616	9	223	13126	13126	551	20	114	2469119	18040	45	149488	146023	1203	0	NA	189918	122856	0	5585169	70021	125639	173868	2615142	19168	5585169	70021
2020-10-25	179	126	182	118	57	83	40	58			9864	9640	25	224	13142	13142	538	16	109	2485042	15923	45	150565	147120	1077	0	NA	191267	122856	0	5668015	82846	125829	174264	2632162	17020	5668015	82846
2020-10-26	120	120	163	119	38	55	38	55			9881	9657	17	224	13160	13160	550	18	105	2503912	18870	43	151777	148336	1212	0	NA	192778	122856	0	5723873	55858	125973	174754	2652248	20086	5723873	55858
2020-10-27	173	129	163	119	55	80	41	60			9888	9664	7	224	13160	13160	567	0	109	2516614	12702	47	153037	149361	1260	0	NA	193911	122856	0	5781231	57358	126155	178728	2665975	13727	5781231	57358
2020-10-28	156	190	150	131	49	72	60	88			9924	9700	36	224	13213	13213	582	53	106	2534122	17508	49	154218	150498	1181	0	NA	195310	122856	0	5865571	84340	126476	180772	2684620	18645	5865571	84340
2020-10-29	92	97	133	126	29	43	31	45			9951	9727	27	224	13235	13235	561	22	99	2551212	17090	49	155564	151741	1346	0	NA	196751	127054	0	5931323	65752	126754	183029	2702953	18333	5931323	65752
2020-10-30	134	201	135	138	42	62	64	93			9975	9750	24	225	13253	13253	571	18	106	2569972	18760	47	157146	153229	1582	0	NA	198485	127054	0	6009927	78604	127016	184974	2723201	20248	6009927	78604
2020-10-31	68	148	125	140	21	31	47	68			9991	9766	16	225	13286	13286	623	33	118	2586802	16830	53	158576	154521	1430	0	NA	199991	127054	0	6103161	93234	127219	187483	2741323	18122	6103161	93234
2020-11-01	145	139	122	142	46	67	44	64			10013	9788	22	225	13299	13299	613	13	113	2602387	15585	55	159707	155660	1131	0	NA	201330	127054	0	6165624	62463	127372	188181	2758047	16724	6165624	62463
2020-11-02	181	186	129	151	57	84	59	86			10023	9797	10	226	13299	13299	469	0	96	2615698	13311	50	160549	156385	842	0	NA	202224	127054	0	6217043	51419	127372	190746	2772083	14036	6217043	51419
2020-11-03	256	317	136	172	81	118	100	146			10035	9809	12	226	13299	13299	485	0	96	2628852	13154	51	161585	157308	1036	0	NA	203311	127054	0	6271886	54843	127372	193148	2786160	14077	6271886	54843
2020-11-04	177	183	139	171	56	82	58	85			10062	9836	27	226	13299	13299	502	0	109	2649240	20388	55	163299	158937	1714	0	NA	205314	127054	0	6374952	103066	127372	195447	2808177	22017	6374952	103066
2020-11-05	269	354	162	206	85	124	112	163			10085	9859	23	226	13373	13373	498	74	115	2671933	22693	56	165161	160698	1862	0	NA	207306	131646	0	6461311	86359	127372	197543	2832631	24454	6461311	86359
2020-11-06	206	207	172	207	65	95	65	96			10106	9880	21	226	13373	13373	513	0	118	2690585	18652	57	167274	162736	2113	0	11842	209659	131646	0	6547668	86357	128053	200056	2853321	20690	6547668	86357
2020-11-07	240	221	206	219	76	111	70	102			10129	9903	23	226	13373	13373	535	0	127	2712191	21606	60	169576	164936	2302	0	11842	212158	131646	0	6639954	92286	128053	202372	2877127	23806	6639954	92286
2020-11-08	270	322	225	247	85	125	102	149			10149	9923	20	226	13373	13373	568	0	144	2730521	18330	62	171399	166745	1823	0	11842	214280	131646	0	6720526	80572	128053	203073	2897266	20139	6720526	80572
2020-11-09	273	226	239	254	86	126	71	105			10163	9936	14	227	13373	13373	588	0	143	2743519	12998	66	172727	167929	1328	0	11842	215662	131646	0	6767987	47461	128053	205541	2911448	14182	6767987	47461
2020-11-10	291	339	243	257	92	135	107	157			10184	9957	21	227	13373	13373	618	0	150	2757216	13697	68	174881	169976	2154	0	11842	217992	131646	0	6826328	58341	128053	207947	2927192	15744	6826328	58341
2020-11-11	244	396	255	287	77	113	125	183			10222	9994	38	228	13373	13373	659	0	152	2775173	17957	72	177541	172471	2660	0	11842	220852	131646	0	6906649	80321	128053	210771	2947644	20452	6906649	80321
2020-11-12	341	318	263	282	108	158	101	147			10242	10015	20	227	13588	13588	661	215	151	2794422	19249	68	180189	174953	2648	0	11842	223573	137422	0	7004724	98075	128053	213220	2969375	21731	7004724	98075
2020-11-13	255	301	272	298	81	118	95	139			10265	10038	23	227	13588	13588	687	0	153	2813634	19212	71	183095	177627	2906	0	11910	226622	137422	0	7086029	81305	129352	218466	2991261	21886	7086029	81305
2020-11-14	359	313	288	313	114	166	99	145			10293	10065	28	228	13588	13588	705	0	151	2838585	24951	71	186142	180468	3047	0	11910	229868	137422	0	7197095	111066	129352	221431	3019053	27792	7197095	111066
2020-11-15	382	286	302	307	121	177	90	132			10329	10098	36	231	13588	13588	737	0	159	2854649	16064	70	188275	182544	2133	0	11910	232360	137422	0	7268466	71371	129352	222261	3037193	18140	7268466	71371
2020-11-16	300	311	307	322	95	139	98	143			10340	10110	11	230	13588	13588	781	0	159	2869642	14993	74	190439	184511	2164	0	11910	234611	137422	0	7321731	53265	129352	225360	3054153	16960	7321731	53265
2020-11-17	428	412	324	331	135	198	130	190			10360	10130	20	230	13588	13588	835	0	159	2885122	15480	73	192964	186774	2525	0	11910	237174	137422	0	7387199	65468	129352	229932	3071896	17743	7387199	65468
2020-11-18	380	353	345	325	120	176	112	163			10407	10177	47	230	13588	13588	885	0	173	2905440	20318	72	195868	189518	2904	0	11910	240381	137422	0	7484835	97636	129352	234128	3094958	23062	7484835	97636
2020-11-19	211	384	322	334	67	97	121	177			10435	10204	28	231	13817	13817	917	229	181	2924858	19418	75	198550	192050	2682	0	12007	243281	145682	0	7576974	92139	130696	237534	3116908	21950	7576974	92139
2020-11-20	305	371	330	344	96	141	117	171			10469	10238	34	231	13817	13817	904	0	179	2947448	22590	75	200949	194338	2399	0	12007	245981	145682	0	7648243	71269	130696	240068	3141786	24878	7648243	71269
2020-11-21	270	385	317	355	85	125	122	178			10488	10257	19	231	13817	13817	891	0	187	2977016	29568	85	204155	197329	3206	0	12007	249489	145682	0	7757482	109239	130696	244122	3174345	32559	7757482	109239
2020-11-22	411	435	320	377	130	190	138	201			10512	10281	24	231	13817	13817	893	0	192	3000205	23189	88	206850	200050	2695	0	12007	252791	145682	0	7867762	110280	130696	244860	3200255	25910	7867762	110280
2020-11-23	553	267	350	369	175	256	84	123			10531	10299	19	232	13817	13817	922	0	204	3013965	13760	91	208623	201835	1773	0	12007	254878	145682	0	7920042	52280	130696	245501	3215800	15545	7920042	52280
2020-11-24	526	518	360	381	166	243	164	239			10551	10319	20	232	13817	13817	954	0	205	3034374	20409	99	211199	204060	2576	0	12007	257495	145682	0	8000861	80819	130696	250995	3238434	22634	8000861	80819
2020-11-25	497	459	374	395	157	230	145	212			10604	10372	53	232	13817	13817	942	0	208	3060815	26441	108	214594	207284	3395	0	12007	261393	145682	0	8130694	129833	130696	254007	3268099	29665	8130694	129833
2020-11-26	1052	495	471	410	333	486	156	229			10604	10372	0	232	13817	13817	942	0	208	3060815	0	108	214594	207284	0	0	12007	261393	145682	0	8130694	0	130696	254007	3268099	0	8130694	0
2020-11-27	568	561	515	435	179	262	177	259			10635	10401	31	234	14139	14139	986	322	209	3089928	29113	109	219252	211748	4658	0	12130	266566	155473	0	8250436	119742	132492	257397	3301676	33577	8250436	119742
2020-11-28	748	546	595	457	236	346	173	252			10676	10441	41	235	14139	14139	1045	0	225	3104965	15037	111	222469	214662	3217	0	12130	269851	155473	0	8322705	72269	132492	261693	3319627	17951	8322705	72269
2020-11-29	646	520	635	469	204	299	164	240			10722	10487	46	235	14139	14139	1081	0	238	3120723	15758	110	224964	217163	2495	0	12130	272685	155473	0	8371390	48685	132492	262332	3337886	18259	8371390	48685
2020-11-30	771	675	666	536	244	356	213	312			10748	10512	26	236	14139	14139	1174	0	244	3127214	6491	126	226132	218329	1168	0	12130	274046	155473	0	8400584	29194	132492	262710	3345543	7657	8400584	29194
2020-12-01	537	862	668	576	170	248	272	398			10778	10542	30	236	14139	14139	1191	0	239	3142496	15282	130	229205	221174	3073	0	12130	277245	155473	0	8460417	59833	132492	265989	3363670	18127	8460417	59833
2020-12-02	431	857	655	630	136	199	271	396			10824	10588	46	236	14139	14139	1259	0	264	3161191	18695	126	234232	225787	5027	0	12130	282607	155473	0	8566262	105845	132492	270281	3386978	23308	8566262	105845
2020-12-03	824	888	632	685	260	381	280	410			10874	10637	50	237	14397	14397	1324	258	261	3186939	25748	137	240907	232264	6675	0	12193	289972	169809	0	8677996	111734	133429	272797	3419203	32225	8677996	111734
2020-12-04	1578	1384	732	779	499	729	438	640			10910	10674	36	236	14397	14397	1394	0	278	3207957	21018	134	246398	237456	5491	0	12193	295839	169809	0	8774697	96701	133429	275819	3445413	26210	8774697	96701
2020-12-05	647	956	716	844	204	299	302	441			10953	10715	43	238	14397	14397	1428	0	283	3230907	22950	138	252017	242812	5619	0	12193	301751	169809	0	8880813	106116	133429	279060	3473719	28306	8880813	106116
2020-12-06	1042	1035	767	931	329	481	327	478			11004	10763	51	241	14397	14397	1416	0	298	3250728	19821	139	256844	247559	4827	0	12193	307148	169809	0	8970252	89439	133429	280427	3498287	24568	8970252	89439
2020-12-07	1135	1219	811	1013	359	524	385	563			11035	10793	31	242	14397	14397	1516	0	302	3261771	11043	153	259325	250022	2481	0	12193	309976	169809	0	9013556	43304	133429	280896	3511793	13506	9013556	43304
2020-12-08	827	725	862	988	261	382	229	335			11076	10833	41	243	14397	14397	1552	0	310	3276717	14946	166	263447	253649	4122	0	12193	313988	169809	0	9072057	58501	133429	284946	3530366	18573	9072057	58501
2020-12-09	784	629	939	945	248	362	199	291			11166	10922	90	244	14397	14397	1576	0	308	3297033	20316	162	269412	259324	5965	0	12193	320562	169809	0	9181066	109009	133429	287469	3556357	25991	9181066	109009
2020-12-10	954	812	959	933	301	441	257	375			11209	10963	43	246	14823	14823	1607	426	307	3315387	18354	168	274781	264454	5369	0	12349	326430	187221	0	9278419	97353	135208	290670	3579841	23484	9278419	97353
2020-12-11	882	1146	883	909	279	408	362	529			11257	11010	48	247	14823	14823	1605	0	309	3336332	20945	165	280436	269929	5655	0	12349	332659	187221	0	9377600	99181	135208	293014	3606261	26420	9377600	99181
2020-12-12	764	1023	904	918	241	353	323	473			11307	11057	50	250	14823	14823	1670	0	334	3355023	18691	170	285725	274897	5289	0	12349	338478	187221	0	9477319	99719	135208	296649	3629920	23659	9477319	99719
2020-12-13	1013	1356	900	954	320	468	428	626			11349	11098	42	251	14823	14823	1707	0	342	3372774	17751	178	290578	279574	4853	0	12349	343992	187221	0	9567575	90256	135208	299450	3652348	22428	9567575	90256
2020-12-14	1272	1195	915	951	402	588	378	552			11388	11135	39	253	14823	14823	1788	0	354	3386378	13604	186	294231	283146	3653	0	12349	348122	187221	0	9623697	56122	135208	300791	3669524	17176	9623697	56122
2020-12-15	790	202	909	792	249	365	64	93			11443	11190	55	253	14823	14823	1834	0	371	3401993	15615	200	298160	286866	3929	0	12349	352414	187221	0	9684933	61236	135208	303783	3688859	19335	9684933	61236
2020-12-16	922	877	930	831	292	426	277	405			11513	11261	70	252	14823	14823	1851	0	382	3424767	22774	205	304112	292316	5952	0	12349	358906	187221	0	9809105	124172	135208	309136	3717083	28224	9809105	124172
2020-12-17	1143	1111	955	869	361	528	351	513			11558	11305	45	253	15372	15372	1871	549	383	3443888	19121	207	309247	297301	5135	0	12560	364785	206843	0	9901732	92627	137188	312716	3741189	24106	9901732	92627
2020-12-18	793	1048	940	858	250	366	331	484			11610	11358	52	252	15372	15372	1874	0	370	3470184	26296	204	314926	302933	5679	0	12560	371377	206843	0	10007766	106034	137188	315192	3773117	31928	10007766	106034
2020-12-19	674	1176	924	875	213	311	372	543			11657	11405	47	252	15372	15372	1927	0	383	3483491	13307	196	319270	306928	4344	0	12560	375857	206843	0	10087980	80214	137188	319467	3790419	17302	10087980	80214
2020-12-20	950	897	915	825	300	439	284	415			11717	11465	60	252	15372	15372	1919	0	387	3500246	16755	205	323531	311090	4261	0	12560	380769	206843	0	10178769	90789	137188	321267	3811336	20917	10178769	90789
2020-12-21	923	775	874	775	292	426	245	358			11759	11506	42	253	15372	15372	1991	0	410	3515535	15289	215	327374	314850	3843	0	12560	385357	206843	0	10239836	61067	137188	322335	3830385	19049	10239836	61067
2020-12-22	999	995	904	974	316	462	315	460			11804	11549	45	255	15372	15372	2004	0	412	3530284	14749	233	331174	318143	3800	0	12560	389326	206843	0	10301914	62078	137188	327368	3848427	18042	10301914	62078
2020-12-23	1058	841	922	968	334	489	266	389			11887	11630	83	257	15372	15372	2066	0	409	3548835	18551	226	335988	322652	4814	0	12560	395232	206843	0	10399569	97655	137188	331189	3871487	23060	10399569	97655
2020-12-24	844	985	883	952	267	390	311	455			11963	11706	76	257	15905	15905	2095	533	409	3572264	23429	232	341925	328307	5937	0	12756	401647	229910	0	10514045	114476	139022	335800	3900571	29084	10514045	114476
2020-12-25	851	907	892	932	269	393	287	419			11963	11706	0	257	15905	15905	2095	0	409	3572264	0	232	341925	328307	0	0	12756	401647	229910	0	10514045	0	139022	335800	3900571	0	10514045	0
2020-12-26	531	551	862	836	168	245	174	255			12010	11752	47	258	15905	15905	2077	0	416	3595082	22818	232	349602	335731	7677	0	12756	409908	229910	0	10622490	108445	139022	340254	3930813	30242	10622490	108445
2020-12-27	309	1208	734	873	97	143	382	558			12110	11852	100	258	15905	15905	2156	0	416	3603728	8646	230	352736	338704	3134	0	12756	413307	229910	0	10663821	41331	139022	343468	3942432	11619	10663821	41331
2020-12-28	813	1448	721	954	257	375	458	669			12158	11900	48	258	15905	15905	2230	0	430	3614660	10932	234	356934	342764	4198	0	12756	418051	229910	0	10713593	49772	139022	344885	3957424	14992	10713593	49772
2020-12-29	1014	774	722	921	321	469	245	358			12218	11958	60	260	15905	15905	2259	0	431	3625653	10993	225	361079	346423	4145	0	12756	422263	229910	0	10762822	49229	139022	349077	3972076	14652	10762822	49229
2020-12-30	922	1451	708	995	291	426	458	670			12338	12076	120	262	15905	15905	2257	0	433	3640768	15115	231	367918	352558	6839	0	12756	429346	229910	0	10848872	86050	139022	356615	3993326	21250	10848872	86050
2020-12-31	831	792	707	965	263	384	250	366			12423	12157	85	266	16098	16098	2271	193	417	3658165	17397	240	375178	359445	7260	0	12915	437155	261672	0	10944699	95827	140254	360840	4017610	24284	10944699	95827
