DayNum	Date	Soldiers	Tanks	ArmoredCombatVehicles	Artillery	MultipleLaunchRocketSystems	AirDefenceSystems	MilitaryJets	Helicopters	Drones	CruiseMissiles	WarshipsAndBoats	VehiclesAndFuelTanks	SpecialEquipment
76	4/7/2023	177110	3633	7016	2722	533	281	306	292	2291	911	18	5587	304
77	4/8/2023	177680	3636	7020	2727	533	282	307	292	2298	911	18	5599	304
78	4/9/2023	178150	3636	7024	2740	533	282	307	292	2312	911	18	5602	309
79	4/10/2023	178820	3637	7028	2750	534	282	307	292	2323	911	18	5607	311
80	4/11/2023	179320	3644	7038	2765	535	282	307	293	2332	911	18	5620	316
81	4/12/2023	180050	3646	7043	2770	535	282	307	293	2334	911	18	5630	319
82	4/13/2023	180590	3646	7053	2777	535	283	307	293	2339	911	18	5637	320
83	4/14/2023	181090	3650	7069	2784	535	283	307	293	2339	911	18	5640	321
84	4/15/2023	181550	3653	7073	2785	535	283	307	293	2339	911	18	5646	324
85	4/16/2023	182070	3657	7083	2795	538	284	308	293	2339	911	18	5658	326
