PostFile	PostDate	PostComments	PostHits	HitsStart	HitsEnd
2021-04-02-that-didnt-take-long.md	2021-04-02	0	96	2021-07-15	2023-01-01
2021-04-03-vaccine-mRNA-seq-on-github.md	2021-04-03	0	67	2021-07-15	2023-01-01
2021-04-07-immunity-freedom-day.md	2021-04-07	2	102	2021-07-15	2023-01-01
2021-04-08-reading-rna-vaccines.md	2021-04-08	0	141	2021-07-15	2023-01-01
2021-04-13-jnj-thrombosis-pause.md	2021-04-13	0	101	2021-07-15	2023-01-01
2021-04-16-covid-vaccines-and-clots.md	2021-04-16	0	96	2021-07-15	2023-01-01
2021-04-19-politics-vs-mask-and-vaccine-use.md	2021-04-19	0	79	2021-07-15	2023-01-01
2021-04-21-weekend-editrix-got-shot-again.md	2021-04-21	0	89	2021-07-15	2023-01-01
2021-04-23-jnj-revenant.md	2021-04-23	0	66	2021-07-15	2023-01-01
2021-04-24-billionth-dose.md	2021-04-24	0	92	2021-07-15	2023-01-01
2021-04-30-corvid-19.md	2021-04-30	2	125	2021-07-15	2023-01-01
2021-05-03-google-translate-review.md	2021-05-03	0	165	2021-07-15	2023-01-01
2021-05-05-immunity-freedom-editrix.md	2021-05-05	0	51	2021-07-15	2023-01-01
2021-05-06-good-news-on-covid-variants.md	2021-05-06	0	109	2021-07-15	2023-01-01
2021-05-10-dracula-vaccine.md	2021-05-10	0	99	2021-07-15	2023-01-01
2021-05-12-more-vaccine-sense-from-hank-green.md	2021-05-12	0	151	2021-07-15	2023-01-01
2021-05-21-wastewater-redux.md	2021-05-21	0	98	2021-07-15	2023-01-01
2021-06-01-bayes-mnd.md	2021-06-01	0	162	2021-07-15	2023-01-01
2021-06-07-treasuries-vs-corporates.md	2021-06-07	0	246	2021-07-15	2023-01-01
2021-06-10-covid-tale-of-2-countries.md	2021-06-10	0	136	2021-07-15	2023-01-01
2021-06-19-retirement-portfolio.md	2021-06-19	0	163	2021-07-15	2023-01-01
2021-06-29-today-i-got-shot-a-third-time.md	2021-06-29	2	92	2021-07-15	2023-01-01
2021-06-30-zdogg-delta.md	2021-06-30	1	111	2021-07-15	2023-01-01
2021-07-06-vaccinations-vs-votes.md	2021-07-06	2	140	2021-07-15	2023-01-01
2021-07-12-really-republicans.md	2021-07-12	0	157	2021-07-15	2023-01-01
2021-07-12-thoughts-on-variants.md	2021-07-12	0	154	2021-07-15	2023-01-01
2021-07-16-highest-vax-group-in-us.md	2021-07-16	0	144	2021-07-15	2023-01-01
2021-07-17-covid-vaccine-full-approval.md	2021-07-17	0	149	2021-07-15	2023-01-01
2021-07-19-vax-better.md	2021-07-19	0	198	2021-07-15	2023-01-01
2021-07-29-anger-among-vaccinated.md	2021-07-29	0	195	2021-07-15	2023-01-01
2021-08-04-vaccine-delta-cdc.md	2021-08-04	6	186	2021-07-15	2023-01-01
2021-08-17-covid-vaccines-infertility.md	2021-08-17	0	256	2021-07-15	2023-01-01
2021-08-18-covid-vaccines-alzheimers.md	2021-08-18	0	136	2021-07-15	2023-01-01
2021-08-19-two-predictions.md	2021-08-19	0	114	2021-07-15	2023-01-01
2021-08-23-pfizer-vaccine-approved.md	2021-08-23	0	69	2021-07-15	2023-01-01
2021-08-29-covid-simpson.md	2021-08-29	0	767	2021-07-15	2023-01-01
2021-08-29-zdogg-story.md	2021-08-29	0	164	2021-07-15	2023-01-01
2021-08-31-today-i-got-shot-a-fourth-time.md	2021-08-31	0	87	2021-07-15	2023-01-01
2021-09-02-vaccine-waste.md	2021-09-02	1	194	2021-07-15	2023-01-01
2021-09-06-rosh-hashanah.md	2021-09-06	0	161	2021-07-15	2023-01-01
2021-09-07-vaccine-madness.md	2021-09-07	0	140	2021-07-15	2023-01-01
2021-09-08-vigilante-madness.md	2021-09-08	0	98	2021-07-15	2023-01-01
2021-09-09-cfs-20t-magnet.md	2021-09-09	0	231	2021-07-15	2023-01-01
2021-09-11-war-memorials.md	2021-09-11	0	199	2021-07-15	2023-01-01
2021-09-13-beta-ratios.md	2021-09-13	0	1079	2021-07-15	2023-01-01
2021-09-14-today-i-got-shot-a-fifth-time.md	2021-09-14	2	133	2021-07-15	2023-01-01
2021-09-16-dog-and-problem.md	2021-09-16	0	167	2021-07-15	2023-01-01
2021-09-17-fda-covid-boosters.md	2021-09-17	0	1411	2021-07-15	2023-01-01
2021-09-18-vaccine-names.md	2021-09-18	5	220	2021-07-15	2023-01-01
2021-09-25-management-roundup.md	2021-09-25	0	119	2021-07-15	2023-01-01
2021-09-26-petrov-day-2021.md	2021-09-26	0	109	2021-07-15	2023-01-01
2021-09-27-today-i-got-shot-a-sixth-time.md	2021-09-27	0	226	2021-07-15	2023-01-01
2021-10-04-covid-misc.md	2021-10-04	0	281	2021-07-15	2023-01-01
2021-10-05-ciderdonuteur.md	2021-10-05	0	170	2021-07-15	2023-01-01
2021-10-14-fda-covid-boosters-moderna.md	2021-10-14	0	330	2021-07-15	2023-01-01
2021-10-15-fda-covid-boosters-jnj-mixmatch.md	2021-10-15	0	626	2021-07-15	2023-01-01
2021-10-18-vaccine-mandate-history.md	2021-10-18	0	145	2021-07-15	2023-01-01
2021-10-20-state-of-blog-1yr.md	2021-10-20	4	218	2021-07-15	2023-01-01
2021-10-22-cops-vs-masks-vs-us.md	2021-10-22	0	122	2021-07-15	2023-01-01
2021-10-24-natural-immunity-persistence.md	2021-10-24	2	316	2021-07-15	2023-01-01
2021-10-25-are-we-close-to-the-end.md	2021-10-25	0	156	2021-07-15	2023-01-01
2021-10-26-fda-pfizer-pediatric.md	2021-10-26	0	195	2021-07-15	2023-01-01
2021-10-27-weekend-editrix-shot-sixth-time.md	2021-10-27	4	206	2021-07-15	2023-01-01
2021-10-30-partisan-covid-deaths.md	2021-10-30	0	215	2021-07-15	2023-01-01
2021-11-01-viking-american-dates.md	2021-11-01	0	128	2021-07-15	2023-01-01
2021-11-04-natural-vs-vaccine-immunity-ii.md	2021-11-04	3	192	2021-07-15	2023-01-01
2021-11-08-lessons-covid.md	2021-11-08	0	184	2021-07-15	2023-01-01
2021-11-09-vax-eff-and-kids.md	2021-11-09	0	104	2021-07-15	2023-01-01
2021-11-12-covid-treatments.md	2021-11-12	0	154	2021-07-15	2023-01-01
2021-11-16-covid-dead-partisans.md	2021-11-16	2	202	2021-07-15	2023-01-01
2021-11-19-ivermectin-takedowns.md	2021-11-19	4	259	2021-07-15	2023-01-01
2021-11-23-is-it-over.md	2021-11-23	0	164	2021-07-15	2023-01-01
2021-11-27-so-nu.md	2021-11-27	0	762	2021-07-15	2023-01-01
2021-11-30-fda-molnupiravir.md	2021-11-30	0	401	2021-07-15	2023-01-01
2021-12-02-efficacies-dont-average.md	2021-12-02	0	219	2021-07-15	2023-01-01
2021-12-05-fake-arm-vaccine.md	2021-12-05	0	122	2021-07-15	2023-01-01
2021-12-06-o-vs-d.md	2021-12-06	0	138	2021-07-15	2023-01-01
2021-12-08-yle-advice.md	2021-12-08	0	188	2021-07-15	2023-01-01
2021-12-09-fda-evusheld.md	2021-12-09	0	205	2021-07-15	2023-01-01
2021-12-10-weekend-editrix-exposed.md	2021-12-10	8	692	2021-07-15	2023-01-01
2021-12-14-veni-veni-paxlovid.md	2021-12-14	2	420	2021-07-15	2023-01-01
2021-12-15-analemma-season.md	2021-12-15	0	138	2021-07-15	2023-01-01
2021-12-22-paxlovid-approved.md	2021-12-22	0	267	2021-07-15	2023-01-01
2021-12-25-webb-space-telescope-launched.md	2021-12-25	0	144	2021-07-15	2023-01-01
2021-12-29-winter-beauty.md	2021-12-29	0	198	2021-07-15	2023-01-01
2022-01-01-letat-du-blog-2021.md	2022-01-01	4	391	2021-07-15	2023-01-01
2022-01-02-first-night-ice-sculpture.md	2022-01-02	0	106	2021-07-15	2023-01-01
2022-01-06-really-long-covid.md	2022-01-06	5	337	2021-07-15	2023-01-01
2022-01-07-tech-skeptics.md	2022-01-07	0	147	2021-07-15	2023-01-01
2022-01-11-paxlovid-availability.md	2022-01-11	0	305	2021-07-15	2023-01-01
2022-01-12-paxlovid-availability-vs-omicron-wave.md	2022-01-12	0	203	2021-07-15	2023-01-01
2022-01-17-mlk2022.md	2022-01-17	0	114	2021-07-15	2023-01-01
2022-01-18-us-comparisons.md	2022-01-18	0	102	2021-07-15	2023-01-01
2022-01-19-how-to-discover-paxlovid.md	2022-01-19	0	179	2021-07-15	2023-01-01
2022-01-21-biopharma-insurrection-donors.md	2022-01-21	0	208	2021-07-15	2023-01-01
2022-01-26-pancoronavirus-vaccines.md	2022-01-26	2	196	2021-07-15	2023-01-01
2022-01-28-ten-billionth-dose.md	2022-01-28	0	111	2021-07-15	2023-01-01
2022-01-31-did-my-own-research.md	2022-01-31	0	135	2021-07-15	2023-01-01
2022-01-31-spikevax-approved.md	2022-01-31	0	99	2021-07-15	2023-01-01
2022-02-04-wastewater-reredux.md	2022-02-04	0	255	2021-07-15	2023-01-01
2022-02-07-sars-cov2-cryptic.md	2022-02-07	0	142	2021-07-15	2023-01-01
2022-02-08-nag-unvaccinated.md	2022-02-08	0	125	2021-07-15	2023-01-01
2022-02-09-moderna-monkey-trial.md	2022-02-09	0	119	2021-07-15	2023-01-01
2022-02-11-upcoming-pfizer-kids.md	2022-02-11	0	111	2021-07-15	2023-01-01
2022-02-13-antivax-shame.md	2022-02-13	0	124	2021-07-15	2023-01-01
2022-02-15-spirit-of-complicated-people.md	2022-02-15	6	282	2021-07-15	2023-01-01
2022-02-19-get-out-of-death-cults.md	2022-02-19	0	134	2021-07-15	2023-01-01
2022-02-23-pessimism-and-optimism.md	2022-02-23	0	264	2021-07-15	2023-01-01
2022-02-26-masterful-data-journalism.md	2022-02-26	0	111	2021-07-15	2023-01-01
2022-03-01-ukraine-russia.md	2022-03-01	0	141	2021-07-15	2023-01-01
2022-03-04-paxlovid-difficult.md	2022-03-04	0	153	2021-07-15	2023-01-01
2022-03-07-ivermectin-revenant.md	2022-03-07	0	99	2021-07-15	2023-01-01
2022-03-09-rethinking-npis.md	2022-03-09	0	116	2021-07-15	2023-01-01
2022-03-11-qua.md	2022-03-11	2	129	2021-07-15	2023-01-01
2022-03-12-return-to-bso.md	2022-03-12	0	111	2021-07-15	2023-01-01
2022-03-14-pi-reflected.md	2022-03-14	0	74	2021-07-15	2023-01-01
2022-03-18-lessons-vs-another-booster.md	2022-03-18	0	116	2021-07-15	2023-01-01
2022-03-19-unexpected-inspiration-on-russia.md	2022-03-19	0	195	2021-07-15	2023-01-01
2022-03-25-tension-hope-despair.md	2022-03-25	0	145	2021-07-15	2023-01-01
2022-03-26-headshot.md	2022-03-26	2	268	2021-07-15	2023-01-01
2022-03-27-republicans-against-interracial-marriage.md	2022-03-27	0	107	2021-07-15	2023-01-01
2022-04-01-today-i-got-shot-a-seventh-time.md	2022-04-01	0	160	2021-07-15	2023-01-01
2022-04-08-fda-vrbpac-booster-policy.md	2022-04-08	0	162	2021-07-15	2023-01-01
2022-04-14-passover-vs-late-stage-capitalism.md	2022-04-14	0	104	2021-07-15	2023-01-01
2022-04-16-finland-phd.md	2022-04-16	0	123	2021-07-15	2023-01-01
2022-04-18-ivermectin-bitterman-published.md	2022-04-18	0	104	2021-07-15	2023-01-01
2022-04-25-shionogi-3clpro-inhib.md	2022-04-25	0	96	2021-07-15	2023-01-01
2022-04-28-weekend-editrix-shot-seventh-time.md	2022-04-28	0	101	2021-07-15	2023-01-01
2022-04-29-too-much-too-little-covid.md	2022-04-29	0	69	2021-07-15	2023-01-01
2022-04-30-preventive-paxlovid-fails.md	2022-04-30	0	115	2021-07-15	2023-01-01
2022-05-01-covid-2-americas.md	2022-05-01	0	151	2021-07-15	2023-01-01
2022-05-02-no-masks-new-wave.md	2022-05-02	0	110	2021-07-15	2023-01-01
