PostFile	PostDate	PostComments	PostHits	HitsStart	HitsEnd
2020-07-01-fiat-blog.md	2020-07-01	2	48	2021-07-15	2021-12-31
2020-07-02-retirement-of-iphegenia.md	2020-07-02	0	43	2021-07-15	2021-12-31
2020-07-03-bpd-racial-makeup.md	2020-07-03	0	34	2021-07-15	2021-12-31
2020-07-04-pfizer-biontech-covid-vaccine-ph12-readout.md	2020-07-04	0	18	2021-07-15	2021-12-31
2020-07-05-moderna-lonza-covid-vaccine-phase-3-delay.md	2020-07-05	0	32	2021-07-15	2021-12-31
2020-07-15-moderna-lonza-covid-vaccine-ph12-readout.md	2020-07-15	0	29	2021-07-15	2021-12-31
2020-07-18-Lord-Kelvin-on-quantitative-knowledge.md	2020-07-18	0	30	2021-07-15	2021-12-31
2020-07-20-math-test-post.md	2020-07-20	0	26	2021-07-15	2021-12-31
2020-08-01-moderna-covid-vaccine-phase3-start.md	2020-08-01	0	36	2021-07-15	2021-12-31
2020-08-07-whats-that-stupid-avatar.md	2020-08-07	1	38	2021-07-15	2021-12-31
2020-09-02-moderna-q2-earnings-call.md	2020-09-02	0	26	2021-07-15	2021-12-31
2020-09-23-covid-hope-and-vaccine-evaluations.md	2020-09-23	0	16	2021-07-15	2021-12-31
2020-09-26-petrov-day.md	2020-09-26	2	25	2021-07-15	2021-12-31
2020-10-02-night-of-the-living-beta-binomials.md	2020-10-02	1	44	2021-07-15	2021-12-31
2020-10-06-today-i-voted.md	2020-10-06	2	40	2021-07-15	2021-12-31
2020-10-15-covid-vs-statins-ace-inhibitors.md	2020-10-15	0	30	2021-07-15	2021-12-31
2020-10-24-in-autumn-in-new-england-thoughts-turn-to.md	2020-10-24	5	48	2021-07-15	2021-12-31
2020-11-02-coronavirus-winter-of-our-discontent.md	2020-11-02	1	22	2021-07-15	2021-12-31
2020-11-04-wastewater-corona-virus-rna-vs-medical-loads.md	2020-11-04	0	21	2021-07-15	2021-12-31
2020-11-09-pfizer-vaccine-efficacy-data.md	2020-11-09	0	24	2021-07-15	2021-12-31
2020-11-16-moderna-vaccine-efficacy-data.md	2020-11-16	0	26	2021-07-15	2021-12-31
2020-11-18-on-covid-vaccine-persistence.md	2020-11-18	0	16	2021-07-15	2021-12-31
2020-11-19-unsatisfactory-election.md	2020-11-19	1	21	2021-07-15	2021-12-31
2020-11-24-vaccine-sense-from-hank-green.md	2020-11-24	0	19	2021-07-15	2021-12-31
2020-11-27-astrazeneca-oxford-vaccine-readout.md	2020-11-27	0	29	2021-07-15	2021-12-31
2020-11-29-we-need-talmudic-arguments.md	2020-11-29	1	44	2021-07-15	2021-12-31
2020-11-30-who-voted.md	2020-11-30	0	19	2021-07-15	2021-12-31
2020-12-01-alas-arecibo.md	2020-12-01	0	23	2021-07-15	2021-12-31
2020-12-02-wow-signal.md	2020-12-02	0	28	2021-07-15	2021-12-31
2020-12-08-beautiful-vaccines.md	2020-12-08	0	27	2021-07-15	2021-12-31
2020-12-10-pfizer-vaccine-passes-vrbpac-review.md	2020-12-10	0	23	2021-07-15	2021-12-31
2020-12-12-pfizer-vaccine-efficacy-confidence-intervals.md	2020-12-12	0	108	2021-07-15	2021-12-31
2020-12-14-le-chat-noir.md	2020-12-14	2	47	2021-07-15	2021-12-31
2020-12-15-beautiful-vaccines-2.md	2020-12-15	0	33	2021-07-15	2021-12-31
2020-12-18-moderna-vaccine-passes-vrbpac-review.md	2020-12-18	0	37	2021-07-15	2021-12-31
2020-12-18-XKCD-explains-it-all.md	2020-12-18	0	34	2021-07-15	2021-12-31
2020-12-21-solstice-vs-dodds-day.md	2020-12-21	1	41	2021-07-15	2021-12-31
2020-12-28-youre-scaring-me.md	2020-12-28	0	20	2021-07-15	2021-12-31
2020-12-29-cops-and-santa.md	2020-12-29	2	21	2021-07-15	2021-12-31
2020-12-30-moderna-struck-by-lightning.md	2020-12-30	0	38	2021-07-15	2021-12-31
2020-12-31-coronavirus-mutation-vs-vaccine.md	2020-12-31	0	31	2021-07-15	2021-12-31
2021-01-03-moderna-vaccine-publication.md	2021-01-03	0	33	2021-07-15	2021-12-31
2021-01-06-dems-win-repubs-insurrection.md	2021-01-06	0	25	2021-07-15	2021-12-31
2021-01-12-sedition.md	2021-01-12	0	14	2021-07-15	2021-12-31
2021-01-14-covid-loves-republicans.md	2021-01-14	0	22	2021-07-15	2021-12-31
2021-01-16-natural-vs-vaccine-immunity.md	2021-01-16	0	41	2021-07-15	2021-12-31
2021-01-20-adults-in-charge.md	2021-01-20	2	23	2021-07-15	2021-12-31
2021-01-25-first-spam.md	2021-01-25	0	18	2021-07-15	2021-12-31
2021-01-29-jnj-vaccine-relatively-pretty.md	2021-01-29	0	21	2021-07-15	2021-12-31
2021-02-01-need-for-speed.md	2021-02-01	0	20	2021-07-15	2021-12-31
2021-02-11-impeachment-action.md	2021-02-11	1	12	2021-07-15	2021-12-31
2021-02-24-republican-impeachment-votes.md	2021-02-24	0	22	2021-07-15	2021-12-31
2021-02-26-jnj-vaccine-vrbpac-review.md	2021-02-26	0	66	2021-07-15	2021-12-31
2021-03-03-today-i-got-shot.md	2021-03-03	0	37	2021-07-15	2021-12-31
2021-03-08-i-guess-i-like-dolly-parton.md	2021-03-08	0	34	2021-07-15	2021-12-31
2021-03-10-republicans-vs-herd-immunity.md	2021-03-10	0	19	2021-07-15	2021-12-31
2021-03-14-pi-day.md	2021-03-14	0	32	2021-07-15	2021-12-31
2021-03-15-filibusters.md	2021-03-15	2	76	2021-07-15	2021-12-31
2021-03-17-azox-vaccine-thrombo.md	2021-03-17	0	41	2021-07-15	2021-12-31
2021-03-22-pandemic-in-retrospect.md	2021-03-22	0	32	2021-07-15	2021-12-31
2021-03-23-azox-further-discontents.md	2021-03-23	0	24	2021-07-15	2021-12-31
2021-03-24-today-i-got-shot-again.md	2021-03-24	2	34	2021-07-15	2021-12-31
2021-03-25-free-bird.md	2021-03-25	1	47	2021-07-15	2021-12-31
2021-03-30-darwin-award-vaccine.md	2021-03-30	0	21	2021-07-15	2021-12-31
2021-03-30-variants-vs-vaccines.md	2021-03-30	0	48	2021-07-15	2021-12-31
2021-03-31-weekend-editrix-got-shot.md	2021-03-31	0	38	2021-07-15	2021-12-31
2021-04-01-foolishness.md	2021-04-01	0	32	2021-07-15	2021-12-31
2021-04-02-that-didnt-take-long.md	2021-04-02	0	33	2021-07-15	2021-12-31
2021-04-03-vaccine-mRNA-seq-on-github.md	2021-04-03	0	23	2021-07-15	2021-12-31
2021-04-07-immunity-freedom-day.md	2021-04-07	2	32	2021-07-15	2021-12-31
2021-04-08-reading-rna-vaccines.md	2021-04-08	0	61	2021-07-15	2021-12-31
2021-04-13-jnj-thrombosis-pause.md	2021-04-13	0	23	2021-07-15	2021-12-31
2021-04-16-covid-vaccines-and-clots.md	2021-04-16	0	32	2021-07-15	2021-12-31
2021-04-19-politics-vs-mask-and-vaccine-use.md	2021-04-19	0	32	2021-07-15	2021-12-31
2021-04-21-weekend-editrix-got-shot-again.md	2021-04-21	0	39	2021-07-15	2021-12-31
2021-04-23-jnj-revenant.md	2021-04-23	0	26	2021-07-15	2021-12-31
2021-04-24-billionth-dose.md	2021-04-24	0	27	2021-07-15	2021-12-31
2021-04-30-corvid-19.md	2021-04-30	2	43	2021-07-15	2021-12-31
2021-05-03-google-translate-review.md	2021-05-03	0	57	2021-07-15	2021-12-31
2021-05-05-immunity-freedom-editrix.md	2021-05-05	0	17	2021-07-15	2021-12-31
2021-05-06-good-news-on-covid-variants.md	2021-05-06	0	43	2021-07-15	2021-12-31
2021-05-10-dracula-vaccine.md	2021-05-10	0	34	2021-07-15	2021-12-31
2021-05-12-more-vaccine-sense-from-hank-green.md	2021-05-12	0	74	2021-07-15	2021-12-31
2021-05-21-wastewater-redux.md	2021-05-21	0	39	2021-07-15	2021-12-31
2021-06-01-bayes-mnd.md	2021-06-01	0	78	2021-07-15	2021-12-31
2021-06-07-treasuries-vs-corporates.md	2021-06-07	0	72	2021-07-15	2021-12-31
2021-06-10-covid-tale-of-2-countries.md	2021-06-10	0	46	2021-07-15	2021-12-31
2021-06-19-retirement-portfolio.md	2021-06-19	0	80	2021-07-15	2021-12-31
2021-06-29-today-i-got-shot-a-third-time.md	2021-06-29	2	28	2021-07-15	2021-12-31
2021-06-30-zdogg-delta.md	2021-06-30	1	67	2021-07-15	2021-12-31
2021-07-06-vaccinations-vs-votes.md	2021-07-06	2	87	2021-07-15	2021-12-31
2021-07-12-really-republicans.md	2021-07-12	0	69	2021-07-15	2021-12-31
2021-07-12-thoughts-on-variants.md	2021-07-12	0	62	2021-07-15	2021-12-31
2021-07-16-highest-vax-group-in-us.md	2021-07-16	0	91	2021-07-15	2021-12-31
2021-07-17-covid-vaccine-full-approval.md	2021-07-17	0	93	2021-07-15	2021-12-31
2021-07-19-vax-better.md	2021-07-19	0	131	2021-07-15	2021-12-31
2021-07-29-anger-among-vaccinated.md	2021-07-29	0	139	2021-07-15	2021-12-31
2021-08-04-vaccine-delta-cdc.md	2021-08-04	6	156	2021-07-15	2021-12-31
2021-08-17-covid-vaccines-infertility.md	2021-08-17	0	179	2021-07-15	2021-12-31
2021-08-18-covid-vaccines-alzheimers.md	2021-08-18	0	92	2021-07-15	2021-12-31
2021-08-19-two-predictions.md	2021-08-19	0	59	2021-07-15	2021-12-31
2021-08-23-pfizer-vaccine-approved.md	2021-08-23	0	29	2021-07-15	2021-12-31
2021-08-29-covid-simpson.md	2021-08-29	0	522	2021-07-15	2021-12-31
2021-08-29-zdogg-story.md	2021-08-29	0	93	2021-07-15	2021-12-31
2021-08-31-today-i-got-shot-a-fourth-time.md	2021-08-31	0	42	2021-07-15	2021-12-31
2021-09-02-vaccine-waste.md	2021-09-02	1	124	2021-07-15	2021-12-31
2021-09-06-rosh-hashanah.md	2021-09-06	0	122	2021-07-15	2021-12-31
2021-09-07-vaccine-madness.md	2021-09-07	0	85	2021-07-15	2021-12-31
2021-09-08-vigilante-madness.md	2021-09-08	0	70	2021-07-15	2021-12-31
2021-09-09-cfs-20t-magnet.md	2021-09-09	0	98	2021-07-15	2021-12-31
2021-09-11-war-memorials.md	2021-09-11	0	97	2021-07-15	2021-12-31
2021-09-13-beta-ratios.md	2021-09-13	0	470	2021-07-15	2021-12-31
2021-09-14-today-i-got-shot-a-fifth-time.md	2021-09-14	2	70	2021-07-15	2021-12-31
2021-09-16-dog-and-problem.md	2021-09-16	0	83	2021-07-15	2021-12-31
2021-09-17-fda-covid-boosters.md	2021-09-17	0	1224	2021-07-15	2021-12-31
2021-09-18-vaccine-names.md	2021-09-18	5	172	2021-07-15	2021-12-31
2021-09-25-management-roundup.md	2021-09-25	0	90	2021-07-15	2021-12-31
2021-09-26-petrov-day-2021.md	2021-09-26	0	63	2021-07-15	2021-12-31
2021-09-27-today-i-got-shot-a-sixth-time.md	2021-09-27	0	145	2021-07-15	2021-12-31
2021-10-04-covid-misc.md	2021-10-04	0	202	2021-07-15	2021-12-31
2021-10-05-ciderdonuteur.md	2021-10-05	0	88	2021-07-15	2021-12-31
2021-10-14-fda-covid-boosters-moderna.md	2021-10-14	0	192	2021-07-15	2021-12-31
2021-10-15-fda-covid-boosters-jnj-mixmatch.md	2021-10-15	0	475	2021-07-15	2021-12-31
2021-10-18-vaccine-mandate-history.md	2021-10-18	0	77	2021-07-15	2021-12-31
2021-10-20-state-of-blog-1yr.md	2021-10-20	4	161	2021-07-15	2021-12-31
2021-10-22-cops-vs-masks-vs-us.md	2021-10-22	0	57	2021-07-15	2021-12-31
2021-10-24-natural-immunity-persistence.md	2021-10-24	2	178	2021-07-15	2021-12-31
2021-10-25-are-we-close-to-the-end.md	2021-10-25	0	87	2021-07-15	2021-12-31
2021-10-26-fda-pfizer-pediatric.md	2021-10-26	0	109	2021-07-15	2021-12-31
2021-10-27-weekend-editrix-shot-sixth-time.md	2021-10-27	4	131	2021-07-15	2021-12-31
2021-10-30-partisan-covid-deaths.md	2021-10-30	0	111	2021-07-15	2021-12-31
2021-11-01-viking-american-dates.md	2021-11-01	0	53	2021-07-15	2021-12-31
2021-11-04-natural-vs-vaccine-immunity-ii.md	2021-11-04	3	128	2021-07-15	2021-12-31
2021-11-08-lessons-covid.md	2021-11-08	0	127	2021-07-15	2021-12-31
2021-11-09-vax-eff-and-kids.md	2021-11-09	0	61	2021-07-15	2021-12-31
2021-11-12-covid-treatments.md	2021-11-12	0	118	2021-07-15	2021-12-31
2021-11-16-covid-dead-partisans.md	2021-11-16	2	150	2021-07-15	2021-12-31
2021-11-19-ivermectin-takedowns.md	2021-11-19	4	170	2021-07-15	2021-12-31
2021-11-23-is-it-over.md	2021-11-23	0	85	2021-07-15	2021-12-31
2021-11-27-so-nu.md	2021-11-27	0	523	2021-07-15	2021-12-31
2021-11-30-fda-molnupiravir.md	2021-11-30	0	159	2021-07-15	2021-12-31
2021-12-02-efficacies-dont-average.md	2021-12-02	0	126	2021-07-15	2021-12-31
2021-12-05-fake-arm-vaccine.md	2021-12-05	0	65	2021-07-15	2021-12-31
2021-12-06-o-vs-d.md	2021-12-06	0	71	2021-07-15	2021-12-31
2021-12-08-yle-advice.md	2021-12-08	0	112	2021-07-15	2021-12-31
2021-12-09-fda-evusheld.md	2021-12-09	0	90	2021-07-15	2021-12-31
2021-12-10-weekend-editrix-exposed.md	2021-12-10	6	241	2021-07-15	2021-12-31
2021-12-14-veni-veni-paxlovid.md	2021-12-14	2	206	2021-07-15	2021-12-31
2021-12-15-analemma-season.md	2021-12-15	0	64	2021-07-15	2021-12-31
2021-12-22-paxlovid-approved.md	2021-12-22	0	92	2021-07-15	2021-12-31
2021-12-25-webb-space-telescope-launched.md	2021-12-25	0	57	2021-07-15	2021-12-31
2021-12-29-winter-beauty.md	2021-12-29	0	69	2021-07-15	2021-12-31
